application_number,filing_date,uspc_class,cpc4,inventor_name_first,inventor_name_middle,inventor_name_last,inventor_rank,inventor_region_code,inventor_country_code
09965053,2001-09-26,706,G06F,eui-suk,,chung,1,CA,US
09965053,2001-09-26,706,G06F,bill,,stanton,2,CA,US
09965053,2001-09-26,706,G06F,joe,,latone,3,CA,US
09972849,2001-10-10,706,G09B,richard,douglas,dobbs,3,CA,US
09972849,2001-10-10,706,G09B,richard,j,patz,4,CA,US
09972849,2001-10-10,706,G09B,gregory,d,baker,2,CA,US
09972849,2001-10-10,706,G09B,david,michael,taggart,1,CA,US
09976440,2001-10-12,706,G06F,wayne,,chan,1,CA,US
09978788,2001-10-18,706,G06Q,shigeko,,otani,2,CA,US
09982933,2001-10-22,706,H04L,won,ho,chun,1,CA,US
09986531,2001-11-09,706,G06N,j,barry,shackleford,1,CA,US
09988124,2001-11-19,706,G06N,j,barry,shackleford,1,CA,US
09988598,2001-11-20,706,G06N,j,barry,shackleford,1,CA,US
09988598,2001-11-20,706,G06N,richard,j,carter,2,CA,US
09991476,2001-11-16,706,G06F,eldon,r,hansen,2,CA,US
09991476,2001-11-16,706,G06F,g,william,walster,1,CA,US
10000844,2001-11-01,706,A61B,michael,m,merzenich,2,CA,US
10000844,2001-11-01,706,A61B,shaowen,,bao,3,CA,US
10011215,2001-10-25,706,G06K,yihong,,gong,1,CA,US
10011215,2001-10-25,706,G06K,xin,,liu,2,CA,US
10017015,2001-12-14,706,G06Q,christian,j,darken,1,CA,US
10017573,2001-12-13,706,G06F,eldon,r,hansen,2,CA,US
10017573,2001-12-13,706,G06F,g,william,walster,1,CA,US
10022719,2001-12-20,706,G06N,james,e,reich,3,CA,US
10022719,2001-12-20,706,G06N,warren,b,jackson,2,CA,US
10022719,2001-12-20,706,G06N,markus,pj,fromherz,1,CA,US
10024649,2001-12-17,706,C40B,youqi,,wang,1,CA,US
10024649,2001-12-17,706,C40B,marco,,falcioni,2,CA,US
10024649,2001-12-17,706,C40B,c,eric,ramberg,4,CA,US
10024649,2001-12-17,706,C40B,stephen,j,turner,3,CA,US
10029502,2001-12-21,706,G06N,bohumir,,uvacek,2,CA,US
10029502,2001-12-21,706,G06N,fa-long,,luo,1,CA,US
10034442,2001-12-26,706,G06N,nemmara,,chithambaram,1,CA,US
10038494,2002-01-03,706,G06F,amir,,najmi,1,CA,US
10038494,2002-01-03,706,G06F,ali,,siddiqui,2,CA,US
10038892,2001-10-22,706,G06F,mahima,,mallikarjuna,2,CA,US
10038892,2001-10-22,706,G06F,terence,,leong,1,CA,US
10043044,2002-01-07,706,G06N,man,mohan,rai,1,CA,US
10043356,2002-01-11,706,G06F,duane,,desieno,2,CA,US
10043356,2002-01-11,706,G06F,jerome,,lapointe,1,CA,US
10043515,2001-03-26,706,G06Q,david,r,dorsett,2,CA,US
10043515,2001-03-26,706,G06Q,isy,,goldwasser,1,CA,US
10043515,2001-03-26,706,G06Q,jere,d,fellmann,3,CA,US
10046463,2001-10-23,706,G06F,michael,,hobbs,2,CA,US
10046463,2001-10-23,706,G06F,alistair,craig,veitch,6,CA,US
10046463,2001-10-23,706,G06F,susan,,spence,4,CA,US
10046463,2001-10-23,706,G06F,kimberly,,keeton,3,CA,US
10046463,2001-10-23,706,G06F,eric,,anderson,1,CA,US
10046463,2001-10-23,706,G06F,mustafa,,uysal,5,CA,US
10046539,2002-01-16,706,G06F,henry,m,harris,1,CA,US
10053040,2002-01-18,706,G06T,lei,,he,1,CA,US
10053040,2002-01-18,706,G06T,hongmin,,zhang,2,CA,US
10057849,2002-01-24,706,G06K,isabelle,,guyon,1,CA,US
10066096,2002-01-31,706,G06N,henri,j,suermondt,3,CA,US
10066096,2002-01-31,706,G06N,tom,e,fawcett,2,CA,US
10074933,2002-05-16,706,G06N,peter,paul martizano,catalasan,1,CA,US
10074958,2002-02-11,706,G06N,jorge,,moraleda,2,CA,US
10074958,2002-02-11,706,G06N,macgregor,,belniak,1,CA,US
10077028,2002-02-14,706,G06N,kim,joseph,olszewski,1,CA,US
10078971,2002-02-19,706,G06Q,douglas,m,gilbert,3,CA,US
10081822,2002-02-20,706,G06N,albert,,mehrabian,2,CA,US
10082941,2002-02-25,706,G06F,thomas,h,johnson,1,CA,US
10087145,2002-03-01,706,G06K,nello,,cristianini,1,CA,US
10087240,2002-03-01,706,G06F,kenneth,williams,fertig,2,CA,US
10087240,2002-03-01,706,G06F,david,,kil,1,CA,US
10095488,2002-03-11,706,G10L,darrin,,uecker,2,CA,US
10095488,2002-03-11,706,G10L,yulun,,wang,1,CA,US
10099043,2002-03-14,706,G06Q,kenneth,w,hilton,1,CA,US
10103053,2002-03-22,706,G06F,thorsten,h,brants,2,CA,US
10103053,2002-03-22,706,G06F,francine,r,chen,3,CA,US
10108199,2002-03-26,706,G06N,theodore,w,berger,2,CA,US
10108199,2002-03-26,706,G06N,jim-shih,,liaw,1,CA,US
10113318,2002-03-29,706,G06F,henri,jacques,suermondt,1,CA,US
10113318,2002-03-29,706,G06F,melchun,,hsu,2,CA,US
10116835,2002-04-05,706,G06K,evan,r,kirshenbaum,1,CA,US
10123315,2002-04-16,706,G06N,richard,wade,madison,1,CA,US
10125829,2002-04-18,706,G06Q,joshua,rogers,tyler,3,CA,US
10125829,2002-04-18,706,G06Q,eytan,,adar,1,CA,US
10125829,2002-04-18,706,G06Q,caesar,,sengupta,4,CA,US
10125829,2002-04-18,706,G06Q,rajan,mathew,lukose,2,CA,US
10128928,2002-04-22,706,,john,gerald,van heteren,1,CA,US
10132626,2002-04-25,706,G06K,david,r,smith,2,CA,US
10132626,2002-04-25,706,G06K,lee,a,barford,3,CA,US
10132626,2002-04-25,706,G06K,jonathan,qiang,li,1,CA,US
10139806,2002-04-16,706,G06F,huai,,sun,1,CA,US
10147619,2002-05-16,706,H04L,ludmila,,cherkasova,2,CA,US
10147619,2002-05-16,706,H04L,wenting,,tang,3,CA,US
10150668,2002-05-16,706,G06F,karen,a,do,4,CA,US
10150668,2002-05-16,706,G06F,ronald,p,blanford,3,CA,US
10150668,2002-05-16,706,G06F,john,,mcneil,1,CA,US
10150668,2002-05-16,706,G06F,daniel,a,sherman,5,CA,US
10150668,2002-05-16,706,G06F,alan,,goates,2,CA,US
10150668,2002-05-16,706,G06F,robin,,warren,6,CA,US
10151306,2002-05-21,706,G06Q,yu-to,,chen,1,CA,US
10164053,2002-06-04,706,G06F,duane,d,desieno,2,CA,US
10164053,2002-06-04,706,G06F,jerome,,lapointe,1,CA,US
10165232,2002-06-07,706,G06N,robert,,jannarone,1,CA,US
10167233,2002-06-07,706,G06N,barbara,,hayes-roth,1,CA,US
10173321,2002-06-17,706,G06N,aj,,mims,1,CA,US
10174733,2002-06-18,706,G06Q,ming-chien,,shan,3,CA,US
10174733,2002-06-18,706,G06Q,umeshwar,,dayal,4,CA,US
10174733,2002-06-18,706,G06Q,li-jie,,jin,1,CA,US
10174733,2002-06-18,706,G06Q,fabio,,casati,2,CA,US
10185239,2002-06-26,706,G06N,arif,m,ansari,1,CA,US
10185239,2002-06-26,706,G06N,yusuf,sulaiman,shiek ansari,2,CA,US
10192964,2002-07-10,706,G06F,dar-shyang,,lee,1,CA,US
10199530,2002-07-19,706,G06F,roland,john,burns,2,CA,US
10202190,2002-07-22,706,G06K,te-won,,lee,1,CA,US
10202190,2002-07-22,706,G06K,terrence,j,sejnowski,3,CA,US
10206000,2002-07-25,706,G06Q,vasant,,balasubramanian,1,CA,US
10206000,2002-07-25,706,G06Q,krishna,,uppuluri,3,CA,US
10206000,2002-07-25,706,G06Q,ameesh,,oza,2,CA,US
10206930,2002-07-24,706,G06N,stuart,h,rubin,1,CA,US
10210593,2002-07-31,706,G06N,eytan,,adar,1,CA,US
10210593,2002-07-31,706,G06N,caesar,,sengupta,4,CA,US
10210593,2002-07-31,706,G06N,joshua,rogers,tyler,3,CA,US
10210593,2002-07-31,706,G06N,rajan,mathew,lukose,2,CA,US
10213663,2002-08-07,706,G06F,jon,b,turner,1,CA,US
10213663,2002-08-07,706,G06F,rami,,reuveni,3,CA,US
10213663,2002-08-07,706,G06F,victor,r,hambridge,2,CA,US
10231875,2002-08-30,706,A63F,arif,m,ansari,1,CA,US
10231875,2002-08-30,706,A63F,yusuf,sulaiman,shiek ansari,2,CA,US
10235701,2002-09-05,706,H04B,william,ian,mcalexander,1,CA,US
10253201,2002-09-23,706,G06N,edward,p,katz,1,CA,US
10264437,2002-10-03,706,G06N,donald,,steward,1,CA,US
10308333,2002-12-02,706,G06Q,vijay,,mital,1,CA,US
10308860,2002-12-03,706,G06N,peter,,whitehead,2,CA,US
10308884,2002-12-03,706,G06K,peter,,whitehead,2,CA,US
10308933,2002-12-03,706,G06K,fredric,s,young,3,CA,US
10308933,2002-12-03,706,G06K,dennis,,johnson,6,CA,US
10308933,2002-12-03,706,G06K,peter,,whitehead,2,CA,US
10320005,2002-12-16,706,G06F,matthias,,kaiser,2,CA,US
10320005,2002-12-16,706,G06F,yuh-cherng,,wu,3,CA,US
10322504,2002-12-19,706,G06F,hadar,,shemtov,4,CA,US
10322504,2002-12-19,706,G06F,mary,,dalrymple,3,CA,US
10322504,2002-12-19,706,G06F,john,o,lamping,1,CA,US
10322504,2002-12-19,706,G06F,richard,s,crouch,2,CA,US
10324641,2002-12-19,706,G06F,robert,,jannarone,5,CA,US
10330402,2002-12-27,706,G06F,matthias,,kaiser,2,CA,US
10354233,2003-01-29,706,H04M,wen-lin,,tsao,2,CA,US
10354233,2003-01-29,706,H04M,kaartik,,viswanath,1,CA,US
10355443,2003-01-30,706,G05B,jessen,,yu,3,CA,US
